Cell_Name,Height,Width,Leakage_Power
AND2_X1,0.76,1.4,25.066064
AND2_X2,0.95,1.4,50.353160
AND2_X4,1.71,1.4,100.706457
AND3_X1,0.95,1.4,26.481460
AND3_X2,1.14,1.4,53.190270
AND3_X4,2.09,1.4,106.380663
AND4_X1,1.14,1.4,27.024804
AND4_X2,1.33,1.4,54.274743
AND4_X4,2.47,1.4,108.549590
ANTENNA_X1,0.19,1.4,0.000000
AOI21_X1,0.76,1.4,27.858395
AOI21_X2,1.33,1.4,55.716720
AOI21_X4,2.47,1.4,111.433338
AOI22_X1,0.95,1.4,32.611944
AOI22_X2,1.71,1.4,65.223838
AOI22_X4,3.23,1.4,130.447551
AOI211_X1,0.95,1.4,34.565711
AOI211_X2,1.71,1.4,69.131362
AOI211_X4,2.09,1.4,126.001026
AOI221_X1,1.14,1.4,41.741212
AOI221_X2,2.09,1.4,83.482383
AOI221_X4,2.47,1.4,131.584293
AOI222_X1,1.52,1.4,47.398844
AOI222_X2,2.66,1.4,94.797579
AOI222_X4,2.66,1.4,134.853561
BUF_X1,0.57,1.4,21.438247
BUF_X2,0.76,1.4,43.060820
BUF_X4,1.33,1.4,86.121805
BUF_X8,2.47,1.4,172.244545
BUF_X16,4.75,1.4,344.488100
BUF_X32,9.31,1.4,688.976200
CLKBUF_X1,0.57,1.4,11.214093
CLKBUF_X2,0.76,1.4,22.917620
CLKBUF_X3,0.95,1.4,30.558215
CLKGATETST_X1,2.85,1.4,59.137918
CLKGATETST_X2,3.04,1.4,78.027946
CLKGATETST_X4,3.8,1.4,126.648876
CLKGATETST_X8,5.51,1.4,220.271011
CLKGATE_X1,2.47,1.4,48.647260
CLKGATE_X2,2.66,1.4,66.637175
CLKGATE_X4,3.23,1.4,109.651830
CLKGATE_X8,4.94,1.4,197.707057
DFFRS_X1,4.56,1.4,100.161505
DFFRS_X2,4.94,1.4,142.302832
DFFR_X1,3.8,1.4,86.212780
DFFR_X2,4.18,1.4,125.988288
DFFS_X1,3.8,1.4,84.395957
DFFS_X2,3.99,1.4,121.107028
DFF_X1,3.23,1.4,79.112308
DFF_X2,3.61,1.4,115.103670
DLH_X1,1.9,1.4,40.863240
DLH_X2,2.09,1.4,57.430452
DLL_X1,1.9,1.4,40.863416
DLL_X2,2.09,1.4,57.430445
FA_X1,3.04,1.4,75.762253
FILLCELL_X1,0.19,1.4,N/A
TAPCELL_X1,N/A,N/A,N/A
FILLCELL_X2,0.19,1.4,N/A
FILLCELL_X4,0.76,1.4,N/A
FILLCELL_X8,1.52,1.4,N/A
FILLCELL_X16,3.04,1.4,N/A
FILLCELL_X32,6.08,1.4,N/A
HA_X1,1.9,1.4,61.229735
INV_X1,0.38,1.4,14.353185
INV_X2,0.57,1.4,28.706376
INV_X4,0.95,1.4,57.412850
INV_X8,1.71,1.4,114.826305
INV_X16,3.23,1.4,229.651455
INV_X32,6.27,1.4,459.302800
LOGIC0_X1,0.38,1.4,N/A
LOGIC1_X1,0.38,1.4,N/A
MUX2_X1,1.33,1.4,35.928390
MUX2_X2,1.71,1.4,68.648566
NAND2_X1,0.57,1.4,17.393360
NAND2_X2,0.95,1.4,34.786630
NAND2_X4,1.71,1.4,69.573240
NAND3_X1,0.76,1.4,18.104768
NAND3_X2,1.33,1.4,36.209558
NAND3_X4,2.47,1.4,72.419123
NAND4_X1,0.95,1.4,18.126843
NAND4_X2,1.71,1.4,36.253723
NAND4_X4,3.42,1.4,72.506878
NOR2_X1,0.57,1.4,21.199545
NOR2_X2,0.95,1.4,42.399074
NOR2_X4,1.71,1.4,84.798143
NOR3_X1,0.76,1.4,26.831667
NOR3_X2,1.33,1.4,53.663264
NOR3_X4,2.66,1.4,107.325918
NOR4_X1,0.95,1.4,32.601474
NOR4_X2,1.71,1.4,65.202889
NOR4_X4,3.42,1.4,130.405147
OAI21_X1,0.76,1.4,22.619394
OAI21_X2,1.33,1.4,45.238687
OAI21_X4,2.47,1.4,90.477187
OAI22_X1,0.95,1.4,34.026125
OAI22_X2,1.71,1.4,68.052131
OAI22_X4,3.23,1.4,136.103946
OAI33_X1,1.33,1.4,48.313952
OAI211_X1,0.95,1.4,22.039133
OAI211_X2,1.71,1.4,44.078200
OAI211_X4,3.23,1.4,88.156278
OAI221_X1,1.14,1.4,33.937672
OAI221_X2,2.09,1.4,67.875298
OAI221_X4,2.47,1.4,116.346072
OAI222_X1,1.52,1.4,43.177867
OAI222_X2,2.66,1.4,86.355577
OAI222_X4,2.66,1.4,127.978560
OR2_X1,0.76,1.4,22.694975
OR2_X2,0.95,1.4,45.656022
OR2_X4,1.71,1.4,91.312375
OR3_X1,0.95,1.4,24.414625
OR3_X2,1.14,1.4,49.162437
OR3_X4,2.09,1.4,98.325150
OR4_X1,1.14,1.4,26.733490
OR4_X2,1.33,1.4,53.869509
OR4_X4,2.47,1.4,107.739253
SDFFRS_X1,5.51,1.4,122.721721
SDFFRS_X2,5.89,1.4,162.300860
SDFFR_X1,4.75,1.4,105.258197
SDFFR_X2,4.94,1.4,141.961514
SDFFS_X1,4.75,1.4,107.724855
SDFFS_X2,5.13,1.4,140.592991
SDFF_X1,4.37,1.4,100.684799
SDFF_X2,4.56,1.4,136.676074
TBUF_X1,1.52,1.4,32.749437
TBUF_X2,1.71,1.4,58.901131
TBUF_X4,2.09,1.4,72.121528
TBUF_X8,3.42,1.4,144.426508
TBUF_X16,4.94,1.4,197.273423
TINV_X1,0.76,1.4,17.885841
TLAT_X1,2.47,1.4,47.996110
XNOR2_X1,1.14,1.4,36.441009
XNOR2_X2,1.9,1.4,73.102975
XOR2_X1,1.14,1.4,36.163718
XOR2_X2,1.71,1.4,72.593483
